Moldova;248783;164676;231916;480355;850197;514919;564443;764173;292564;206746;877292;175817;0;377851;704568;992247;957097;285415;975125;101323;101323
Lithuania;363013;873418;902065;995967;460452;784423;128166;55205;819391;690862;279904;0;878626;479007;287265;12062;91991;117238;968490;545381;545381
Bosnia and Herzegovina;58888;941368;857027;0;71438;120243;238076;37650;113453;669389;331861;393262;511638;469003;726710;930328;243327;894130;774787;263330;263330
Czech Republic;908743;761324;625681;621072;337020;0;960800;900619;730527;924973;70889;165271;610111;906445;377104;426222;737040;146133;587794;827922;827922

Albania;0;181737;32637;444914;363969;26359;49820;926995;982799;71682;84338;197258;648121;371950;780342;380583;439108;764246;855351;353137;353137
Belgium;255438;459767;0;323101;736662;528767;393864;983335;122910;692608;60799;335801;185586;483035;993067;229645;884345;132595;801204;369797;369797
Cyprus;440128;234472;213190;271042;0;68768;383463;770575;130691;999498;145084;401513;157813;11051;76585;796898;232017;274889;734289;453152;453152
Germany;486616;238389;172511;410074;157481;242812;46485;724799;0;714000;19754;434982;803379;590103;995935;766954;162608;541430;34600;475684;475684
Italy;417203;374036;4119;733861;424033;993113;664116;784391;372567;850421;0;95591;526083;557214;913672;909706;94630;606761;640592;395633;395633
Netherlands;22983;565559;561896;453411;997352;544738;110486;221991;452512;32826;334387;376997;198555;0;789213;12130;475659;789494;576794;745806;745806
